repo_full,week,merge_frequency
docker/cli,2024-01-01,7
prometheus/prometheus,2024-01-01,4
prometheus/prometheus,2024-01-08,4
docker/cli,2024-01-08,17
prometheus/prometheus,2024-01-15,22
docker/cli,2024-01-15,17
prometheus/prometheus,2024-01-22,26
docker/cli,2024-01-22,19
prometheus/prometheus,2024-01-29,12
docker/cli,2024-01-29,8
prometheus/prometheus,2024-02-05,5
docker/cli,2024-02-05,8
prometheus/prometheus,2024-02-12,6
docker/cli,2024-02-12,8
prometheus/prometheus,2024-02-19,12
docker/cli,2024-02-19,7
prometheus/prometheus,2024-02-26,22
docker/cli,2024-02-26,6
prometheus/prometheus,2024-03-04,30
docker/cli,2024-03-04,16
prometheus/prometheus,2024-03-11,20
docker/cli,2024-03-11,9
prometheus/prometheus,2024-03-18,23
docker/cli,2024-03-18,16
prometheus/prometheus,2024-03-25,25
docker/cli,2024-03-25,5
prometheus/prometheus,2024-04-01,19
docker/cli,2024-04-01,8
prometheus/prometheus,2024-04-08,9
docker/cli,2024-04-08,7
prometheus/prometheus,2024-04-15,14
docker/cli,2024-04-15,8
docker/cli,2024-04-22,5
prometheus/prometheus,2024-04-22,11
prometheus/prometheus,2024-04-29,27
docker/cli,2024-04-29,8
docker/cli,2024-05-06,6
prometheus/prometheus,2024-05-06,13
docker/cli,2024-05-13,13
prometheus/prometheus,2024-05-13,14
docker/cli,2024-05-20,5
prometheus/prometheus,2024-05-20,7
docker/cli,2024-05-27,14
prometheus/prometheus,2024-05-27,11
prometheus/prometheus,2024-06-03,63
docker/cli,2024-06-03,24
docker/cli,2024-06-10,17
prometheus/prometheus,2024-06-10,15
docker/cli,2024-06-17,24
prometheus/prometheus,2024-06-17,25
docker/cli,2024-06-24,15
prometheus/prometheus,2024-06-24,19
prometheus/prometheus,2024-07-01,17
docker/cli,2024-07-01,22
docker/cli,2024-07-08,5
prometheus/prometheus,2024-07-08,23
docker/cli,2024-07-15,20
prometheus/prometheus,2024-07-15,14
docker/cli,2024-07-22,21
prometheus/prometheus,2024-07-22,8
prometheus/prometheus,2024-07-29,30
docker/cli,2024-07-29,3
prometheus/prometheus,2024-08-05,33
docker/cli,2024-08-05,13
docker/cli,2024-08-12,15
prometheus/prometheus,2024-08-12,16
prometheus/prometheus,2024-08-19,23
docker/cli,2024-08-19,12
prometheus/prometheus,2024-08-26,20
docker/cli,2024-08-26,6
docker/cli,2024-09-02,23
prometheus/prometheus,2024-09-02,63
docker/cli,2024-09-09,18
prometheus/prometheus,2024-09-09,27
docker/cli,2024-09-16,23
prometheus/prometheus,2024-09-16,34
prometheus/prometheus,2024-09-23,16
docker/cli,2024-09-23,11
docker/cli,2024-09-30,14
prometheus/prometheus,2024-09-30,50
prometheus/prometheus,2024-10-07,28
docker/cli,2024-10-07,20
prometheus/prometheus,2024-10-14,27
docker/cli,2024-10-14,14
prometheus/prometheus,2024-10-21,18
docker/cli,2024-10-21,18
prometheus/prometheus,2024-10-28,20
docker/cli,2024-10-28,6
docker/cli,2024-11-04,9
prometheus/prometheus,2024-11-04,48
prometheus/prometheus,2024-11-11,23
docker/cli,2024-11-11,14
prometheus/prometheus,2024-11-18,29
docker/cli,2024-11-18,14
prometheus/prometheus,2024-11-25,30
docker/cli,2024-11-25,12
docker/cli,2024-12-02,13
prometheus/prometheus,2024-12-02,29
prometheus/prometheus,2024-12-09,84
docker/cli,2024-12-09,14
docker/cli,2024-12-16,16
prometheus/prometheus,2024-12-16,22
docker/cli,2024-12-23,5
prometheus/prometheus,2024-12-23,8
prometheus/prometheus,2024-12-30,12
docker/cli,2024-12-30,10
docker/cli,2025-01-06,8
prometheus/prometheus,2025-01-06,15
docker/cli,2025-01-13,10
prometheus/prometheus,2025-01-13,58
prometheus/prometheus,2025-01-20,7
docker/cli,2025-01-20,13
prometheus/prometheus,2025-01-27,32
docker/cli,2025-01-27,2
prometheus/prometheus,2025-02-03,27
docker/cli,2025-02-03,19
prometheus/prometheus,2025-02-10,19
docker/cli,2025-02-10,16
prometheus/prometheus,2025-02-17,10
docker/cli,2025-02-17,15
docker/cli,2025-02-24,9
prometheus/prometheus,2025-02-24,10
docker/cli,2025-03-03,17
prometheus/prometheus,2025-03-03,62
prometheus/prometheus,2025-03-10,11
docker/cli,2025-03-10,16
prometheus/prometheus,2025-03-17,75
docker/cli,2025-03-17,14
docker/cli,2025-03-24,10
prometheus/prometheus,2025-03-24,25
prometheus/prometheus,2025-03-31,14
docker/cli,2025-03-31,15
prometheus/prometheus,2025-04-07,8
docker/cli,2025-04-07,24
prometheus/prometheus,2025-04-14,24
docker/cli,2025-04-14,15
docker/cli,2025-04-21,9
prometheus/prometheus,2025-04-21,15
prometheus/prometheus,2025-04-28,33
docker/cli,2025-04-28,4
prometheus/prometheus,2025-05-05,12
docker/cli,2025-05-05,4
prometheus/prometheus,2025-05-12,11
docker/cli,2025-05-12,18
docker/cli,2025-05-19,20
prometheus/prometheus,2025-05-19,12
prometheus/prometheus,2025-05-26,13
docker/cli,2025-05-26,10
docker/cli,2025-06-02,2
prometheus/prometheus,2025-06-02,11
docker/cli,2025-06-09,7
prometheus/prometheus,2025-06-09,9
prometheus/prometheus,2025-06-16,15
docker/cli,2025-06-16,8
prometheus/prometheus,2025-06-23,12
docker/cli,2025-06-23,3
prometheus/prometheus,2025-06-30,17
docker/cli,2025-06-30,5
prometheus/prometheus,2025-07-07,40
docker/cli,2025-07-07,6
docker/cli,2025-07-14,18
prometheus/prometheus,2025-07-14,9
docker/cli,2025-07-21,11
prometheus/prometheus,2025-07-21,10
docker/cli,2025-07-28,12
prometheus/prometheus,2025-07-28,11
docker/cli,2025-08-04,16
prometheus/prometheus,2025-08-04,17
prometheus/prometheus,2025-08-11,17
docker/cli,2025-08-11,23
prometheus/prometheus,2025-08-18,12
docker/cli,2025-08-18,69
docker/cli,2025-08-25,42
prometheus/prometheus,2025-08-25,9
prometheus/prometheus,2025-09-01,16
docker/cli,2025-09-01,34
prometheus/prometheus,2025-09-08,9
docker/cli,2025-09-08,13
docker/cli,2025-09-15,2
prometheus/prometheus,2025-09-15,8
prometheus/prometheus,2025-09-22,10
docker/cli,2025-09-22,50
prometheus/prometheus,2025-09-29,17
docker/cli,2025-09-29,21
prometheus/prometheus,2025-10-06,18
docker/cli,2025-10-06,13
prometheus/prometheus,2025-10-13,20
docker/cli,2025-10-13,12
prometheus/prometheus,2025-10-20,34
docker/cli,2025-10-20,3
docker/cli,2025-10-27,22
prometheus/prometheus,2025-10-27,23
docker/cli,2025-11-03,34
prometheus/prometheus,2025-11-03,31
prometheus/prometheus,2025-11-10,24
docker/cli,2025-11-10,11
docker/cli,2025-11-17,3
prometheus/prometheus,2025-11-17,22
prometheus/prometheus,2025-11-24,11
docker/cli,2025-11-24,7
docker/cli,2025-12-01,5
prometheus/prometheus,2025-12-01,9
docker/cli,2025-12-08,6
prometheus/prometheus,2025-12-08,11
prometheus/prometheus,2025-12-15,34
docker/cli,2025-12-15,11
docker/cli,2025-12-22,2
prometheus/prometheus,2025-12-22,13
prometheus/prometheus,2025-12-29,19
docker/cli,2026-01-05,4
prometheus/prometheus,2026-01-05,30
docker/cli,2026-01-12,14
prometheus/prometheus,2026-01-12,18
docker/cli,2026-01-19,1
prometheus/prometheus,2026-01-19,6
